Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight
114.6,5.9,51.2,30655.032896090102,30655.032896090102,0.0,0.0,0.0,0.0,0.5,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.2,0.0,0.0,0.8,0.8,568.0,42.0,181.4,95.15142857142855,54.90985112326847,99.6,169410360.08896402,5.5,13.639578806660245,77.65425616641377,3685.08116213152,0.9,38.5
129.0,6.0,64.0,90366.61812863432,90366.61812863432,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1438.2,42.0,214.0,93.12193319236664,49.31935948532704,81.2,169410360.0891449,13.5,13.647331118915664,69.908824088363,2457.3501588297254,1.0,244.6
321.1,7.1,100.6,13324.032212847253,13324.032212847253,0.0,0.0,0.0,0.0,0.4,0.9,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,617.2,63.6,187.5,102.2354365079365,48.063324369721485,119.4,0.0883224964141845,5.5,14.179865179762691,67.9718051763974,3322.481708412068,0.7,38.5
292.6,6.0,80.8,3.897623729966417,3.897623729966417,0.0,0.0,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1693.4,54.0,246.0,110.22515908025584,59.841524383252064,87.5,169410360.2007777,13.5,14.84983919586958,84.80360939934371,3609.775298483319,1.0,244.6
483.6,7.1,69.9,8.191751239408674,8.191751239408674,0.0,0.0,0.0,0.0,0.4,0.9,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,913.8,66.0,590.4,144.38908730158732,180.17974585667912,160.9,0.0821887969970703,5.5,16.531551148852373,254.81264025545312,53155.72948108781,0.9,38.5
438.9,6.0,64.0,16779.935836932746,16779.935836932746,0.0,0.0,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2280.1,66.0,931.0,149.45598256920238,215.63358371418548,104.5,169410360.3071023,13.5,17.287598650849333,305.6093122018356,47018.73501511658,1.0,244.6
679.3,6.0,64.0,2386.1616012317136,2386.1616012317136,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,403.8,66.0,82.9,72.96055555555554,8.130666142067444,73.4,0.0779121875762939,5.5,12.077833850150707,11.498498329239512,73.50744664903,0.9,38.5
539.1,6.0,64.0,13317.728580550249,13317.728580550249,0.0,0.0,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1287.4,66.0,211.0,83.33874361878233,35.13898323546876,89.5,169410360.4109357,13.5,12.909160826252728,49.80768959215697,1248.6128413558986,1.0,244.6
352.8,6.0,64.0,54709.67959584082,54709.67959584082,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,432.6,66.0,101.3,77.10607142857143,13.329540068219549,79.6,1.02996826171875e-05,5.5,12.412682362355152,18.85081634467168,206.3903932823129,0.9,38.5
563.5,4.8,70.3,7426.57568031693,7426.57568031693,0.0,0.0,0.0,0.1,0.2,0.8,0.0,0.0,0.0,0.0,0.1,5.6,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.8,0.8,1206.1,63.6,111.0,78.02932350114627,15.559555095637164,70.3,169410360.53746647,13.5,12.500677550078644,21.95812535223252,241.4905454041123,1.0,244.6
54.0,6.0,255.0,4.647644544122828,4.647644544122828,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,297.0,54.0,54.0,54.0,0.0,54.0,0.0018084049224853,5.5,10.392304845413264,0.0,0.0,0.0,38.5
54.0,6.0,255.0,4.647644544122828,4.647644544122828,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,837.0,54.0,54.0,54.0,0.0,54.0,169410360.466344,13.5,10.392304845413264,0.0,0.0,0.0,244.6
